Calendario de Fertilización para Goteo 2 Veces Por Semana,Calendario de Fertilización para Goteo 2 Veces Por Semana_1,Calendario de Fertilización para Goteo 2 Veces Por Semana_2,Calendario de Fertilización para Goteo 2 Veces Por Semana_3,Calendario de Fertilización para Goteo 2 Veces Por Semana_4,Calendario de Fertilización para Goteo 2 Veces Por Semana_5,Calendario de Fertilización para Goteo 2 Veces Por Semana_6,Calendario de Fertilización para Goteo 2 Veces Por Semana_7,Calendario de Fertilización para Goteo 2 Veces Por Semana_8,Calendario de Fertilización para Goteo 2 Veces Por Semana_9,Calendario de Fertilización para Goteo 2 Veces Por Semana_10,Calendario de Fertilización para Goteo 2 Veces Por Semana_11,Calendario de Fertilización para Goteo 2 Veces Por Semana_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18
1,3,38522,,4.589680650042657,,6.420424860685901,,8.309243907628124,,5.770308269186198,,3.361972324904003,,87.03377609756097,,20.019999999999996,,192.67248068138267
2,10,38529,,4.589680650042657,,6.420424860685901,,8.309243907628124,,5.770308269186198,,3.361972324904003,,126.82084048780486,,20.019999999999996,,193.92975191611436
3,17,38536,,11.489707302978413,,16.072752776244098,,20.80118153902852,,14.445264957658694,,8.416288826871169,,186.50070463414636,,20.019999999999996,,437.69901381142046
4,24,38543,,11.489707302978413,,16.072752776244098,,20.80118153902852,,14.445264957658694,,8.416288826871169,,208.88037902439024,,20.019999999999996,,438.40621152215215
5,31,38550,,11.489707302978413,,16.072752776244098,,20.80118153902852,,14.445264957658694,,8.416288826871169,,246.18130121951214,,20.019999999999996,,439.584920663518
6,38,38557,,11.489707302978413,,16.072752776244098,,20.80118153902852,,14.445264957658694,,8.416288826871169,,295.91586414634145,,20.019999999999996,,441.15653285200585
7,45,38564,,11.489707302978413,,16.072752776244098,,20.80118153902852,,14.445264957658694,,8.416288826871169,,325.7559182926829,,20.019999999999996,,442.09947856303023
8,52,38571,,11.489707302978413,,16.072752776244098,,20.80118153902852,,14.445264957658694,,8.416288826871169,,400.3560536585365,,20.019999999999996,,444.4568428405912
9,59,38578,,11.489707302978413,,16.072752776244098,,20.80118153902852,,14.445264957658694,,8.416288826871169,,415.2763248780487,,20.019999999999996,,444.9283234111278
10,66,38585,,10.871944525014575,,16.072752776244098,,20.80118153902852,,14.445264957658694,,8.416288826871169,,504.7979521951218,,20.019999999999996,,445.78036594486304
11,73,38592,,11.872900929835552,,14.031767263834155,,23.35192109343844,,16.216611870443362,,9.556625518595382,,504.7979521951218,,20.019999999999996,,446.2855340392362
12,80,38599,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,564.4780604878049,,20.019999999999996,,426.9849162785454
13,87,38606,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
14,94,38613,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
15,101,38620,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
16,108,38627,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
17,115,38634,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
18,122,38641,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
19,129,38648,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
20,136,38655,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
21,143,38662,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
22,150,38669,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
23,157,38676,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
24,164,38683,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
25,171,38690,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
26,178,38697,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
27,185,38704,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
28,192,38711,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
29,199,38718,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
30,206,38725,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
31,213,38732,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
32,220,38739,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
33,227,38746,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
34,234,38753,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
35,241,38760,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
36,248,38767,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
37,255,38774,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
38,262,38781,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
39,269,38788,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
40,276,38795,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
41,283,38802,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
42,290,38809,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
43,297,38816,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
44,304,38823,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
45,311,38830,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
46,318,38837,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
47,325,38844,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
48,332,38851,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
49,339,38858,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
50,346,38865,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
51,353,38872,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
52,360,38879,,15.100247755026478,,8.929303482809297,,26.752907165985,,18.57840775415625,,11.203414444444444,,609.2381417073171,,20.019999999999996,,428.399334845082
