Calendario de Fertilización para Goteo 1 Vez Por Semana,Calendario de Fertilización para Goteo 1 Vez Por Semana_1,Calendario de Fertilización para Goteo 1 Vez Por Semana_2,Calendario de Fertilización para Goteo 1 Vez Por Semana_3,Calendario de Fertilización para Goteo 1 Vez Por Semana_4,Calendario de Fertilización para Goteo 1 Vez Por Semana_5,Calendario de Fertilización para Goteo 1 Vez Por Semana_6,Calendario de Fertilización para Goteo 1 Vez Por Semana_7,Calendario de Fertilización para Goteo 1 Vez Por Semana_8,Calendario de Fertilización para Goteo 1 Vez Por Semana_9,Calendario de Fertilización para Goteo 1 Vez Por Semana_10,Calendario de Fertilización para Goteo 1 Vez Por Semana_11,Calendario de Fertilización para Goteo 1 Vez Por Semana_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18
1,7,38526,,4.251863526572567,,2.3607726680089063,,7.777142767509326,,4.469865009746589,,0.00014367423245614038,,80.1803868645974,,8.097165991902834,,292.44881262543174
2,14,38533,,5.709645307111733,,3.170180439897675,,10.549082541787536,,6.002390155945419,,0.00019293396929824562,,116.83445793972109,,8.097165991902834,,390.73111790680764
3,21,38540,,8.260763423055273,,4.586644040703019,,15.262502400884099,,8.684309161793374,,0.00027913850877192987,,171.81488978857402,,8.097165991902834,,560.311623426888
4,28,38547,,9.354099758459647,,5.1936998696195955,,17.282539483354054,,9.833703021442496,,0.0003160833114035088,,192.4322986954566,,8.097165991902834,,632.729767203857
5,35,38554,,11.540772429268394,,6.407811527452749,,21.322613648293963,,12.13249074074074,,0.00038997291666666666,,226.79599640125952,,8.097165991902834,,776.9613961882945
6,42,38561,,14.456335990346721,,8.026627071230285,,26.709379201547176,,15.197541033138403,,0.0004884923903508773,,272.61426000899684,,8.097165991902834,,969.2702348342109
7,49,38568,,15.91411777088589,,8.836034843119052,,29.402761978173782,,16.730066179337232,,0.0005377521271929826,,300.1045883940621,,8.097165991902834,,1065.8277994563143
8,56,38575,,19.558572222233806,,10.859554272840972,,36.136218919740294,,20.561379044834307,,0.0006609014692982456,,368.83040935672506,,8.097165991902834,,1307.2217110115732
9,63,38582,,20.28746311250339,,11.264258158785356,,37.48291030805359,,21.327641617933725,,0.0006855313377192983,,382.57579847053523,,8.097165991902834,,1355.5005131156975
10,70,38589,,24.660808454120886,,13.692481474451661,,45.56305863793342,,25.92521705653021,,0.0008333105482456141,,465.0481331533962,,8.097165991902834,,1645.1733257404428
