Calendario de Fertilización para Goteo 2 Veces Por Semana,Calendario de Fertilización para Goteo 2 Veces Por Semana_1,Calendario de Fertilización para Goteo 2 Veces Por Semana_2,Calendario de Fertilización para Goteo 2 Veces Por Semana_3,Calendario de Fertilización para Goteo 2 Veces Por Semana_4,Calendario de Fertilización para Goteo 2 Veces Por Semana_5,Calendario de Fertilización para Goteo 2 Veces Por Semana_6,Calendario de Fertilización para Goteo 2 Veces Por Semana_7,Calendario de Fertilización para Goteo 2 Veces Por Semana_8,Calendario de Fertilización para Goteo 2 Veces Por Semana_9,Calendario de Fertilización para Goteo 2 Veces Por Semana_10,Calendario de Fertilización para Goteo 2 Veces Por Semana_11,Calendario de Fertilización para Goteo 2 Veces Por Semana_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19
1,3,37791,,2.8324623782024094,,3.1242235831007736,,6.3506944834666665,,5.094970570074153,,8.401644210575022,,67.88634535609756,,20.019999999999996,,165.6714900588408,
2,10,37798,,4.046374826003446,,4.463176547286821,,9.072420690666664,,7.27852938582022,,12.00234887225003,,98.92025558048782,,20.019999999999996,,224.2938537128979,
3,17,37805,,6.1707216096552555,,6.806344234612402,,13.835441553266664,,11.099757313375836,,18.303582030181296,,145.47054961463414,,20.019999999999996,,326.63780416356803,
4,24,37812,,7.081155945506028,,7.810558957751936,,15.876736208666662,,12.737426425185383,,21.004110526437554,,162.92669563902442,,20.019999999999996,,370.4206874461635,
5,31,37819,,8.902024617207577,,9.818988404031003,,19.959325519466663,,16.01276464880448,,26.40516751895007,,192.02141495121953,,20.019999999999996,,457.80261871287837,
6,38,37826,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,230.81437403414637,,20.019999999999996,,574.3118604018315,
7,45,37833,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,254.08961626829267,,20.019999999999996,,575.0473580564305,
8,52,37840,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,312.2777218536585,,20.019999999999996,,576.8861021929281,
9,59,37847,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,323.915533404878,,20.019999999999996,,577.2538570379467,
10,66,37854,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,393.7424027121951,,20.019999999999996,,579.4603861080578,
11,73,37861,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,393.7424027121951,,20.019999999999996,,579.4603861080578,
12,80,37868,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,440.29288718048775,,20.019999999999996,,580.9313814172559,
13,87,37875,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
14,94,37882,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
15,101,37889,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
16,108,37896,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
17,115,37903,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
18,122,37910,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
19,129,37917,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
20,136,37924,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
21,143,37931,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
22,150,37938,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
23,157,37945,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
24,164,37952,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
25,171,37959,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
26,178,37966,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
27,185,37973,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
28,192,37980,,11.329849512809638,,12.496894332403095,,25.402777933866666,,20.379882280296613,,33.606576842300086,,475.20575053170734,,20.019999999999996,,582.0346278991544,
