Para Apio de cosecha de hoja semanal,Para Apio de cosecha de hoja semanal,Para Apio de cosecha de hoja semanal,Para Apio de cosecha de hoja semanal,Para Apio de cosecha de hoja semanal,Para Apio de cosecha de hoja semanal,Para Apio de cosecha de hoja semanal,Para Apio de cosecha de hoja semanal,Para Apio de cosecha de hoja semanal,Para Apio de cosecha de hoja semanal,Para Apio de cosecha de hoja semanal,Para Apio de cosecha de hoja semanal
Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
,1,1,0.8308318508641687,0.5550142450142451,1.396846019247594,0.2570018072686695,0.7151589290865267,5.0926,2,0.5,0.42999999999999994
,2,1,0.8308318508641687,0.5550142450142451,1.396846019247594,0.2570018072686695,0.7151589290865267,5.0926,2,0.5,0.42999999999999994
,3,1,0.8308318508641687,0.5550142450142451,1.396846019247594,0.2570018072686695,0.7151589290865267,5.0926,2,0.5,0.42999999999999994
,4,1,0.8308318508641687,0.5550142450142451,1.396846019247594,0.2570018072686695,0.7151589290865267,5.0926,2,0.5,0.42999999999999994
,5,1,0.8308318508641687,0.5550142450142451,1.396846019247594,0.2570018072686695,0.7151589290865267,5.0926,2,0.5,0.42999999999999994
,6,1,0.8308318508641687,0.5550142450142451,1.396846019247594,0.2570018072686695,0.7151589290865267,5.0926,2,0.5,0.42999999999999994
,7,1,0.8308318508641687,0.5550142450142451,1.396846019247594,0.2570018072686695,0.7151589290865267,5.0926,2,0.5,0.42999999999999994
,8,2,0.8308318508641687,0.5550142450142451,1.396846019247594,0.2570018072686695,0.7151589290865267,5.0926,2,0.5,0.42999999999999994
,9,2,0.8308318508641687,0.5550142450142451,1.396846019247594,0.2570018072686695,0.7151589290865267,5.0926,2,0.5,0.42999999999999994
,10,2,0.8308318508641687,0.5550142450142451,1.396846019247594,0.2570018072686695,0.7151589290865267,5.0926,2,0.5,0.42999999999999994
,11,2,1.3293309613826698,0.888022792022792,2.2349536307961504,0.41120289162987117,1.1442542865384426,9.1667,2,0.5,0.42999999999999994
,12,2,1.3293309613826698,0.888022792022792,2.2349536307961504,0.41120289162987117,1.1442542865384426,9.1667,2,0.5,0.42999999999999994
,13,2,1.3293309613826698,0.888022792022792,2.2349536307961504,0.41120289162987117,1.1442542865384426,9.1667,2,0.5,0.42999999999999994
,14,2,1.3293309613826698,0.888022792022792,2.2349536307961504,0.41120289162987117,1.1442542865384426,9.1667,2,0.5,0.42999999999999994
,15,3,1.3293309613826698,0.888022792022792,2.2349536307961504,0.41120289162987117,1.1442542865384426,9.1667,2,0.5,0.42999999999999994
,16,3,1.3293309613826698,0.888022792022792,2.2349536307961504,0.41120289162987117,1.1442542865384426,9.1667,2,0.5,0.42999999999999994
,17,3,1.3293309613826698,0.888022792022792,2.2349536307961504,0.41120289162987117,1.1442542865384426,9.1667,2,0.5,0.42999999999999994
,18,3,1.8278300719011713,1.2210313390313392,3.073061242344707,0.565403975991073,1.5733496439903587,12.2222,2,0.5,0.42999999999999994
,19,3,1.8278300719011713,1.2210313390313392,3.073061242344707,0.565403975991073,1.5733496439903587,12.2222,2,0.5,0.42999999999999994
,20,3,1.8278300719011713,1.2210313390313392,3.073061242344707,0.565403975991073,1.5733496439903587,12.2222,2,0.5,0.42999999999999994
,21,3,1.8278300719011713,1.2210313390313392,3.073061242344707,0.565403975991073,1.5733496439903587,12.2222,2,0.5,0.42999999999999994
,22,4,1.8278300719011713,1.2210313390313392,3.073061242344707,0.565403975991073,1.5733496439903587,12.2222,2,0.5,0.42999999999999994
,23,4,1.8278300719011713,1.2210313390313392,3.073061242344707,0.565403975991073,1.5733496439903587,12.2222,2,0.5,0.42999999999999994
,24,4,1.8278300719011713,1.2210313390313392,3.073061242344707,0.565403975991073,1.5733496439903587,12.2222,2,0.5,0.42999999999999994
,25,4,1.8278300719011713,1.2210313390313392,3.073061242344707,0.565403975991073,1.5733496439903587,12.2222,2,0.5,0.42999999999999994
,26,4,1.8278300719011713,1.2210313390313392,3.073061242344707,0.565403975991073,1.5733496439903587,12.2222,2,0.5,0.42999999999999994
,27,4,1.8278300719011713,1.2210313390313392,3.073061242344707,0.565403975991073,1.5733496439903587,12.2222,2,0.5,0.42999999999999994
,28,4,1.8278300719011713,1.2210313390313392,3.073061242344707,0.565403975991073,1.5733496439903587,12.2222,2,0.5,0.42999999999999994
,29,5,1.8278300719011713,1.2210313390313392,3.073061242344707,0.565403975991073,1.5733496439903587,12.2222,2,0.5,0.42999999999999994
,30,5,1.8278300719011713,1.2210313390313392,3.073061242344707,0.565403975991073,1.5733496439903587,12.2222,2,0.5,0.42999999999999994
,31,5,1.5796595245726497,1.2210313390313392,3.073061242344707,0.565403975991073,1.5733496439903587,12.2222,1.7284533708646195,0.5,0.42999999999999994
,32,5,1.5796595245726497,1.2210313390313392,3.073061242344707,0.565403975991073,1.5733496439903587,12.2222,1.7284533708646195,0.5,0.42999999999999994
,33,5,2.441291992521367,1.8870484330484327,4.749276465441819,0.8738061447134764,2.431540358894191,17.3149,1.7284533708646193,0.5,0.43000000000000005
,34,5,2.441291992521367,1.8870484330484327,4.749276465441819,0.8738061447134764,2.431540358894191,17.3149,1.7284533708646193,0.5,0.43000000000000005
,35,5,2.441291992521367,1.8870484330484327,4.749276465441819,0.8738061447134764,2.431540358894191,17.3149,1.7284533708646193,0.5,0.43000000000000005
,36,6,2.441291992521367,1.8870484330484327,4.749276465441819,0.8738061447134764,2.431540358894191,17.3149,1.7284533708646193,0.5,0.43000000000000005
,37,6,2.441291992521367,1.8870484330484327,4.749276465441819,0.8738061447134764,2.431540358894191,17.3149,1.7284533708646193,0.5,0.43000000000000005
,38,6,2.441291992521367,1.8870484330484327,4.749276465441819,0.8738061447134764,2.431540358894191,17.3149,1.7284533708646193,0.5,0.43000000000000005
,39,6,2.441291992521367,1.8870484330484327,4.749276465441819,0.8738061447134764,2.431540358894191,17.3149,1.7284533708646193,0.5,0.43000000000000005
,40,6,2.441291992521367,1.8870484330484327,4.749276465441819,0.8738061447134764,2.431540358894191,17.3149,1.7284533708646193,0.5,0.43000000000000005
,41,6,2.441291992521367,1.8870484330484327,4.749276465441819,0.8738061447134764,2.431540358894191,17.3149,1.7284533708646193,0.5,0.43000000000000005
,42,6,2.441291992521367,1.8870484330484327,4.749276465441819,0.8738061447134764,2.431540358894191,17.3149,1.7284533708646193,0.5,0.43000000000000005
,43,7,2.441291992521367,1.8870484330484327,4.749276465441819,0.8738061447134764,2.431540358894191,17.3149,1.7284533708646193,0.5,0.43000000000000005
,44,7,2.441291992521367,1.8870484330484327,4.749276465441819,0.8738061447134764,2.431540358894191,17.3149,1.7284533708646193,0.5,0.43000000000000005
,45,7,2.441291992521367,1.8870484330484327,4.749276465441819,0.8738061447134764,2.431540358894191,17.3149,1.7284533708646193,0.5,0.43000000000000005
,46,7,2.441291992521367,1.8870484330484327,4.749276465441819,0.8738061447134764,2.431540358894191,17.3149,1.7284533708646193,0.5,0.43000000000000005
,47,7,2.441291992521367,1.8870484330484327,4.749276465441819,0.8738061447134764,2.431540358894191,17.3149,1.7284533708646193,0.5,0.43000000000000005
,48,7,3.3029244604700856,2.553065527065527,6.425491688538933,1.1822083134358798,3.289731073798023,23.426,1.7284533708646197,0.5,0.42999999999999994
,49,7,3.3029244604700856,2.553065527065527,6.425491688538933,1.1822083134358798,3.289731073798023,23.426,1.7284533708646197,0.5,0.42999999999999994
