Calendario de Fertilización para Goteo 1 Vez Por Semana,Calendario de Fertilización para Goteo 1 Vez Por Semana_1,Calendario de Fertilización para Goteo 1 Vez Por Semana_2,Calendario de Fertilización para Goteo 1 Vez Por Semana_3,Calendario de Fertilización para Goteo 1 Vez Por Semana_4,Calendario de Fertilización para Goteo 1 Vez Por Semana_5,Calendario de Fertilización para Goteo 1 Vez Por Semana_6,Calendario de Fertilización para Goteo 1 Vez Por Semana_7,Calendario de Fertilización para Goteo 1 Vez Por Semana_8,Calendario de Fertilización para Goteo 1 Vez Por Semana_9,Calendario de Fertilización para Goteo 1 Vez Por Semana_10,Calendario de Fertilización para Goteo 1 Vez Por Semana_11,Calendario de Fertilización para Goteo 1 Vez Por Semana_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18
1,7,37795,,7.26272404667285,,8.010829700258395,,18.789036933333325,,13.064027102754238,,21.54267746301287,,174.06755219512195,,20.019999999999996,,382.83901589634394
2,14,37802,,10.375320066675497,,11.444042428940568,,26.841481333333324,,18.662895861077484,,30.77525351858982,,253.64168097560972,,20.019999999999996,,534.629050328798
3,21,37809,,15.82236310168014,,17.452164704134365,,40.93325903333332,,28.460916188143166,,46.932261615849484,,373.0014092682927,,20.019999999999996,,799.6329286780805
4,28,37816,,18.156810116682113,,20.02707425064599,,46.97259233333332,,32.6600677568856,,53.8566936575322,,417.7607580487805,,20.019999999999996,,913.0039430717868
5,35,37823,,22.825704146686096,,25.176893343669246,,59.05125893333331,,41.05837089437046,,67.7055577408976,,492.3626024390243,,20.019999999999996,,1139.2745992990044
6,42,37830,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,591.8317282926829,,20.019999999999996,,1440.968807601961
7,49,37837,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,651.5118365853658,,20.019999999999996,,1442.8546990240097
8,56,37844,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,800.712107317073,,20.019999999999996,,1447.5694275791318
9,63,37851,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,830.5526497560974,,20.019999999999996,,1448.5123887202049
10,70,37858,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1009.5959043902436,,20.019999999999996,,1454.1701555666439
11,77,37865,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1009.5959043902436,,20.019999999999996,,1454.1701555666439
12,84,37872,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1128.9561209756098,,20.019999999999996,,1457.9419384107416
13,91,37879,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
14,98,37886,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
15,105,37893,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
16,112,37900,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
17,119,37907,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
18,126,37914,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
19,133,37921,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
20,140,37928,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
21,147,37935,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
22,154,37942,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
23,161,37949,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
24,168,37956,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
25,175,37963,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
26,182,37970,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
27,189,37977,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
28,196,37984,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
29,203,37991,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
30,210,37998,,29.0508961866914,,32.04331880103358,,75.1561477333333,,52.25610841101695,,86.17070985205147,,1218.4762834146343,,20.019999999999996,,1460.7707755438148
31,217,38005,,0,,21.36221253402239,,116.90956314074069,,69.83725086783085,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1632.9661929974739
32,224,38012,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
33,231,38019,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
34,238,38026,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
35,245,38033,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
36,252,38040,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
37,259,38047,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
38,266,38054,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
39,273,38061,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
40,280,38068,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
41,287,38075,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
42,294,38082,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
43,301,38089,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
44,308,38096,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
45,315,38103,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
46,322,38110,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
47,329,38117,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
48,336,38124,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
49,343,38131,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
50,350,38138,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
51,357,38145,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
52,364,38152,,0,,21.36221253402239,,116.90956314074069,,72.76744127729982,,119.99404968435095,,1218.4762834146343,,20.019999999999996,,1643.8078975125088
